player,name,cluster
/jack-stacey/profil/spieler/249356,Jack Stacey,0
/ryan-fredericks/profil/spieler/140191,Ryan Fredericks,4
/adam-smith/profil/spieler/61841,Adam Smith,4
/jefferson-lerma/profil/spieler/262980,Jefferson Lerma,3
/philip-billing/profil/spieler/320411,Philip Billing,3
/lewis-cook/profil/spieler/249089,Lewis Cook,3
/joe-rothwell/profil/spieler/183293,Joe Rothwell,0
/marcus-tavernier/profil/spieler/399434,Marcus Tavernier,3
/hamed-junior-traore/profil/spieler/391065,Hamed Junior Traorè,3
/ryan-christie/profil/spieler/188077,Ryan Christie,4
/jaidon-anthony/profil/spieler/684210,Jaidon Anthony,4
/junior-stanislas/profil/spieler/87672,Junior Stanislas,0
/dango-ouattara/profil/spieler/823231,Dango Ouattara,3
/david-brooks/profil/spieler/277033,David Brooks,3
/dominic-solanke/profil/spieler/258889,Dominic Solanke,3
/antoine-semenyo/profil/spieler/583255,Antoine Semenyo,4
/kieffer-moore/profil/spieler/275590,Kieffer Moore,0
/david-raya/profil/spieler/262749,David Raya,3
/thomas-strakosha/profil/spieler/222209,Thomas Strakosha,3
/matthew-cox/profil/spieler/741236,Matthew Cox,0
/kristoffer-ajer/profil/spieler/328658,Kristoffer Ajer,3
/ethan-pinnock/profil/spieler/442248,Ethan Pinnock,4
/pontus-jansson/profil/spieler/125314,Pontus Jansson,4
/ben-mee/profil/spieler/74810,Ben Mee,4
/zanka/profil/spieler/52059,Zanka,0
/rico-henry/profil/spieler/339556,Rico Henry,3
/aaron-hickey/profil/spieler/591949,Aaron Hickey,3
/mads-roerslev/profil/spieler/391005,Mads Roerslev,0
/fin-stevens/profil/spieler/587019,Fin Stevens,0
/vitaly-janelt/profil/spieler/270171,Vitaly Janelt,3
/christian-norgaard/profil/spieler/148367,Christian Nörgaard,4
/mathias-jensen/profil/spieler/319859,Mathias Jensen,4
/josh-dasilva/profil/spieler/340321,Josh Dasilva,4
/frank-onyeka/profil/spieler/421637,Frank Onyeka,4
/shandon-baptiste/profil/spieler/533916,Shandon Baptiste,0
/saman-ghoddos/profil/spieler/204294,Saman Ghoddos,0
/yoane-wissa/profil/spieler/388165,Yoane Wissa,3
/keane-lewis-potter/profil/spieler/644401,Keane Lewis-Potter,3
/mikkel-damsgaard/profil/spieler/540941,Mikkel Damsgaard,3
/bryan-mbeumo/profil/spieler/413039,Bryan Mbeumo,3
/kevin-schade/profil/spieler/473050,Kevin Schade,3
/ivan-toney/profil/spieler/251664,Ivan Toney,2
/alisson/profil/spieler/105470,Alisson,1
/caoimhin-kelleher/profil/spieler/340918,Caoimhín Kelleher,4
/adrian/profil/spieler/71271,Adrián,4
/virgil-van-dijk/profil/spieler/139208,Virgil van Dijk,1
/ibrahima-konate/profil/spieler/357119,Ibrahima Konaté,2
/joe-gomez/profil/spieler/256178,Joe Gomez,2
/joel-matip/profil/spieler/82105,Joel Matip,3
/nathaniel-phillips/profil/spieler/371814,Nathaniel Phillips,4
/rhys-williams/profil/spieler/503679,Rhys Williams,0
/andrew-robertson/profil/spieler/234803,Andrew Robertson,2
/konstantinos-tsimikas/profil/spieler/338070,Konstantinos Tsimikas,3
/trent-alexander-arnold/profil/spieler/314353,Trent Alexander-Arnold,1
/calvin-ramsay/profil/spieler/633652,Calvin Ramsay,4
/fabinho/profil/spieler/225693,Fabinho,2
/stefan-bajcetic/profil/spieler/864799,Stefan Bajcetic,4
/thiago/profil/spieler/60444,Thiago,2
/naby-keita/profil/spieler/302215,Naby Keïta,2
/curtis-jones/profil/spieler/433188,Curtis Jones,3
/arthur-melo/profil/spieler/362842,Arthur Melo,2
/jordan-henderson/profil/spieler/61651,Jordan Henderson,3
/alex-oxlade-chamberlain/profil/spieler/143424,Alex Oxlade-Chamberlain,3
/james-milner/profil/spieler/3333,James Milner,4
/harvey-elliott/profil/spieler/565822,Harvey Elliott,2
/fabio-carvalho/profil/spieler/559263,Fábio Carvalho,3
/luis-diaz/profil/spieler/480692,Luis Díaz,1
/cody-gakpo/profil/spieler/434675,Cody Gakpo,2
/diogo-jota/profil/spieler/340950,Diogo Jota,2
/mohamed-salah/profil/spieler/148455,Mohamed Salah,1
/darwin-nunez/profil/spieler/546543,Darwin Núñez,1
/roberto-firmino/profil/spieler/131789,Roberto Firmino,2
/nick-pope/profil/spieler/192080,Nick Pope,3
/martin-dubravka/profil/spieler/74960,Martin Dúbravka,4
/loris-karius/profil/spieler/85864,Loris Karius,4
/mark-gillespie/profil/spieler/142389,Mark Gillespie,0
/sven-botman/profil/spieler/361093,Sven Botman,0
/fabian-schar/profil/spieler/135343,Fabian Schär,0
/jamaal-lascelles/profil/spieler/183318,Jamaal Lascelles,0
/matt-targett/profil/spieler/250478,Matt Targett,0
/dan-burn/profil/spieler/134270,Dan Burn,4
/jamal-lewis/profil/spieler/346018,Jamal Lewis,4
/paul-dummett/profil/spieler/170321,Paul Dummett,4
/kieran-trippier/profil/spieler/95810,Kieran Trippier,3
/emil-krafth/profil/spieler/184528,Emil Krafth,0
/javier-manquillo/profil/spieler/162029,Javier Manquillo,4
/harrison-ashby/profil/spieler/559130,Harrison Ashby,0
/bruno-guimaraes/profil/spieler/520624,Bruno Guimarães,2
/joe-willock/profil/spieler/340329,Joe Willock,3
/sean-longstaff/profil/spieler/346707,Sean Longstaff,3
/matty-longstaff/profil/spieler/484387,Matty Longstaff,0
/matt-ritchie/profil/spieler/92469,Matt Ritchie,4
/joelinton/profil/spieler/333241,Joelinton,2
/elliot-anderson/profil/spieler/567576,Elliot Anderson,0
/anthony-gordon/profil/spieler/503733,Anthony Gordon,2
/allan-saint-maximin/profil/spieler/272642,Allan Saint-Maximin,2
/ryan-fraser/profil/spieler/146795,Ryan Fraser,3
/miguel-almiron/profil/spieler/272999,Miguel Almirón,2
/jacob-murphy/profil/spieler/199527,Jacob Murphy,4
/alexander-isak/profil/spieler/349066,Alexander Isak,2
/callum-wilson/profil/spieler/123682,Callum Wilson,3
/ederson/profil/spieler/238223,Ederson,2
/stefan-ortega/profil/spieler/85941,Stefan Ortega,4
/scott-carson/profil/spieler/14555,Scott Carson,0
/ruben-dias/profil/spieler/258004,Rúben Dias,1
/nathan-ake/profil/spieler/177476,Nathan Aké,2
/john-stones/profil/spieler/186590,John Stones,2
/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,2
/manuel-akanji/profil/spieler/284730,Manuel Akanji,2
/sergio-gomez/profil/spieler/366930,Sergio Gómez,3
